No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
25,AMKR,4.54B,6.57,5.78,0.64,0.70,1.42,4.09,19.37,87.50%,6.42%,28.80%,10.19%,9.30%,18.50,0.98%,"604,759"
26,ESMT,3.42B,-,93.98,-,13.25,4.35,12.49,134.26,-33.50%,3.27%,-,39.31%,-,20.77,1.17%,"375,490"
27,VNT,3.26B,6.71,6.66,0.93,1.06,6.72,12.43,13.37,20.30%,-3.41%,6.10%,7.20%,4.60%,20.91,0.19%,"1,237,594"
28,NLOK,12.29B,14.96,11.05,1.85,4.36,-,9.52,19.70,21.90%,6.86%,41.70%,8.10%,-7.00%,21.53,-0.87%,"9,832,738"
29,STER,2.02B,-,15.98,-,2.73,2.77,30.73,39.33,63.10%,14.41%,-,15.90%,-,21.70,-2.43%,"199,444"
30,DBX,7.98B,20.88,12.81,1.24,3.55,-,5.52,11.09,266.00%,12.66%,31.40%,16.80%,20.60%,22.01,-0.41%,"2,210,422"
31,INFA,6.15B,-,24.27,-,4.09,3.12,10.55,30.76,34.90%,20.40%,-,14.82%,-,22.06,2.60%,"368,738"
32,ACIW,2.49B,17.37,14.03,1.45,1.72,2.13,20.91,15.19,75.00%,18.34%,-0.20%,12.00%,6.40%,22.44,-1.10%,"962,329"
33,SQSP,3.11B,-,65.66,-,3.75,-,12.56,23.23,3.20%,337.97%,-,13.00%,-,22.72,-0.39%,"595,190"
34,CAJ,29.97B,15.87,11.77,15.87,1.16,1.08,9.23,220.40,158.70%,1.04%,8.30%,1.00%,0.60%,22.84,1.38%,"263,174"
35,ALGM,4.35B,43.09,19.15,3.32,5.45,5.72,15.19,51.10,557.40%,11.79%,7.10%,12.99%,21.90%,22.88,-0.65%,"873,929"
36,GDS,4.12B,-,-,-,3.24,1.24,3.12,-,-53.70%,11.70%,7.70%,0.57%,49.20%,22.99,1.14%,"570,315"
37,PD,2.10B,-,358.82,-,6.43,8.59,4.45,-,-46.90%,127.80%,-,30.00%,-,24.40,2.82%,"850,490"
38,RMBS,2.73B,-,14.94,-,6.93,3.34,7.75,13.48,144.70%,3.54%,21.50%,10.35%,-0.50%,25.34,1.89%,"419,705"
39,SHLS,4.32B,267.47,38.56,3.89,17.30,195.46,427.24,-,-88.80%,113.96%,-,68.75%,-,25.41,1.07%,"1,666,507"
40,DLO,7.64B,82.71,39.73,1.59,22.92,26.48,18.58,71.70,162.00%,58.65%,-,52.10%,-,26.22,4.01%,"584,572"
42,HPQ,26.96B,4.71,7.14,3.84,0.42,-,-,7.53,166.10%,-6.93%,28.40%,1.23%,5.60%,27.04,0.30%,"8,791,918"
43,FORM,2.06B,20.15,15.14,1.01,2.59,2.54,7.75,21.80,6.70%,21.85%,65.70%,20.00%,14.90%,27.10,-1.38%,"619,410"
44,CFLT,7.28B,-,-,-,14.92,9.59,3.72,-,-99.80%,25.30%,-,45.60%,-,27.43,3.20%,"2,016,151"
45,DXC,5.99B,12.52,5.96,0.77,0.38,1.36,2.71,4.08,562.80%,30.93%,39.00%,16.30%,16.40%,27.63,1.39%,"3,018,059"
46,JNPR,8.94B,23.73,12.67,1.64,1.81,2.12,8.79,-,-0.90%,19.81%,-13.00%,14.49%,-1.00%,28.05,0.11%,"3,884,179"
47,VRNS,3.09B,-,78.37,-,7.11,6.01,3.92,-,-11.40%,79.51%,-44.00%,47.30%,18.70%,28.84,-0.93%,"945,148"
48,DV,4.77B,99.18,86.97,3.28,12.07,5.77,21.33,100.25,38.90%,31.10%,-,30.20%,-,28.96,0.87%,"1,009,560"
49,PSTG,8.64B,-,22.65,-,3.40,12.06,6.69,-,52.40%,14.01%,15.10%,31.76%,24.20%,29.67,0.10%,"2,507,173"
50,NCR,4.05B,71.02,8.42,17.76,0.52,2.97,10.18,5.36,296.90%,26.49%,-17.10%,4.00%,1.80%,29.83,-0.07%,"1,454,167"
51,TIXT,2.59B,41.86,18.92,2.46,0.83,3.60,16.14,7.88,-15.80%,29.77%,-,17.00%,-,30.10,2.70%,"71,231"
52,PYCR,5.49B,-,85.48,-,12.78,4.35,41.27,245.04,-22.50%,28.97%,-,2.71%,-,31.97,2.30%,"569,155"
53,TDC,3.25B,43.39,16.54,48.59,1.75,14.94,5.97,8.99,12.60%,20.21%,6.50%,0.89%,-3.80%,31.98,-1.24%,"829,791"
54,NVEI,5.72B,48.36,13.98,1.47,5.34,1.82,6.08,15.84,165.80%,29.15%,-,32.80%,-,32.40,5.13%,"311,525"
55,SMTC,2.08B,13.32,11.48,1.16,2.61,2.60,5.74,9.63,111.40%,0.11%,18.30%,11.50%,6.40%,32.72,-0.03%,"1,355,868"
56,GLW,27.28B,14.15,13.33,1.24,1.87,2.36,16.74,48.80,138.40%,11.67%,-16.90%,11.42%,8.40%,32.92,0.00%,"5,118,657"
